User,User (Team),Player 1 (Captain),Player 2 (Vice Captain),Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11
Bubun XI,Bubun XI (3),Joey Veerman,Dani De Wit,Cody Gakpo,Ibrahim Sangare,Mario Gotze,Mauro Junior,Owen Wijndal,Peter Vindahl,Phillipp Mwene,Ritsu Doan,Vangelis Pavlidis
Bubun XI,Bubun XI (4),Cody Gakpo,Mario Gotze,Dani De Wit,Ibrahim Sangare,Joey Veerman,Mauro Junior,Owen Wijndal,Peter Vindahl,Phillipp Mwene,Ritsu Doan,Vangelis Pavlidis
Bubun XI,Bubun XI (5),Mario Gotze,Phillipp Mwene,Cody Gakpo,Dani De Wit,Ibrahim Sangare,Joey Veerman,Mauro Junior,Owen Wijndal,Peter Vindahl,Ritsu Doan,Vangelis Pavlidis
BUBUNS51JK,BUBUNS51JK (1),Jesper Karlsson,Cody Gakpo,Armando Obispo,Dani De Wit,Joey Veerman,Olivier Boscagli,Owen Wijndal,Peter Vindahl,Phillipp Mwene,Ritsu Doan,Vangelis Pavlidis
BUDDHA ENIGMAS,BUDDHA ENIGMAS (1),Ibrahim Sangare,Olivier Boscagli,Armando Obispo,Cody Gakpo,Dani De Wit,Jesper Karlsson,Jordy Clasie,Mario Gotze,Peter Vindahl,Phillipp Mwene,Vangelis Pavlidis
BUNTUE,BUNTUE (1),Phillipp Mwene,Jordan Teze,Armando Obispo,Dani De Wit,Hakon Evjen,Jesper Karlsson,Jordy Clasie,Mario Gotze,Mauro Junior,Olivier Boscagli,Yvon Mvogo
BVM USSR,BVM USSR (1),Cody Gakpo,Ibrahim Sangare,Armando Obispo,Bruno Martins Indi,Fredrik Midtsjo,Mario Gotze,Mauro Junior,Pantelis Chatzidiakos,Peter Vindahl,Vangelis Pavlidis,Yukinari Sugawara
C G Riki,C G Riki (1),Ibrahim Sangare,Ritsu Doan,Armando Obispo,Dani De Wit,Jesper Karlsson,Jordan Teze,Jordy Clasie,Mauro Junior,Olivier Boscagli,Peter Vindahl,Phillipp Mwene
CAALO44TU,CAALO44TU (1),Phillipp Mwene,Cody Gakpo,Bruno Martins Indi,Dani De Wit,Fredrik Midtsjo,Ibrahim Sangare,Mario Gotze,Mauro Junior,Peter Vindahl,Vangelis Pavlidis,Yukinari Sugawara
Calicut tigers,Calicut tigers (1),Jesper Karlsson,Cody Gakpo,Dani De Wit,Ibrahim Sangare,Joey Veerman,Olivier Boscagli,Owen Wijndal,Phillipp Mwene,Ritsu Doan,Vangelis Pavlidis,Yvon Mvogo
